ALWY,ALLEYWAY
ARC,ARCADE
AV,AVENUE
AVE,AVENUE
BASN,BASIN
BCH,BEACH
BDGE,BRIDGE
BDWY,BROADWAY
BEND,BEND
BLK,BLOCK
BVD,BOULEVARD
BYPA,BYPASS
BYWY,BYWAY
CAUS,CAUSEWAY
CCT,CIRCUIT
CDS,CUL-DE-SAC
CH,CHASE
CIR,CIRCLE
CL,CLOSE
CN,CENTRAL
CNR,CORNER
CNWY,CENTREWAY
CON,CONCOURSE
COVE,COVE
COWY,CROSSWAY
CR,CRESCENT
CRD,CROSSROAD
CRES,CRESCENT
CRSG,CROSSING
CRSS,CROSS
CRST,CREST
CT,COURT
CTR,CENTRE
CTYD,COURTYARD
DEVN,DEVIATION
DIP,DIP
DR,DRIVE
DRWY,DRIVEWAY
DSTR,DISTRIBUTOR
EDGE,EDGE
ELB,ELBOW
END,END
ENT,ENTRANCE
ESP,ESPLANADE
EST,ESTATE
EX,EXTENSION
EXP,EXPRESSWAY
FAWY,FAIRWAY
FIT,FIRETRAIL
FLAT,FLAT
FORM,FORMATION
FRNT,FRONT
FRTG,FRONTAGE
FSHR,FORESHORE
FTRK,FIRE TRACK
FWY,FREEWAY
GAP,GAP
GDN,GARDEN
GDNS,GARDENS
GLEN,GLEN
GLY,GULLY
GR,GROVE
GRA,GRANGE
GRN,GREEN
GRND,GROUND
GTE,GATE
HILL,HILL
HRD,HIGHROAD
HTS,HEIGHTS
HWY,HIGHWAY
INTG,INTERCHANGE
INTN,INTERSECTION
JNC,JUNCTION
KEY,KEY
LANE,LANE
LDG,LANDING
LINK,LINK
LKT,LOOKOUT
LNWY,LANEWAY
LOOP,LOOP
LR,LOWER
LT,LITTLE
MEWS,MEWS
MT,MOUNT
MWY,MOTORWAY
NOOK,NOOK
OTLK,OUTLOOK
PARK,PARK
PDE,PARADE
PHWY,PATHWAY
PIAZ,PIAZZA
PKLD,PARKLANDS
PKT,POCKET
PKWY,PARKWAY
PL,PLACE
PLAT,PLATEAU
PLZA,PLAZA
PNT,POINT
PORT,PORT
PROM,PROMENADE
QDGL,QUADRANGLE
QDRT,QUADRANT
QUAD,QUAD
QY,QUAY
QYS,QUAYS
RCH,REACH
RD,ROAD
RDGE,RIDGE
RDS,ROADS
RDSD,ROADSIDE
RDWY,ROADWAY
RES,RESERVE
RGWY,RIDGEWAY
RMBL,RAMBLE
RND,ROUND
RNDE,RONDE
RNGE,RANGE
ROWY,RIGHT OF WAY
RSBL,ROSEBOWL
RTE,ROUTE
RTT,RETREAT
RTY,ROTARY
RUN,RUN
RVR,RIVER
RVRA,RIVIERA
RVWY,RIVERWAY
SBWY,SUBWAY
SDNG,SIDING
SHWY,STATE HIGHWAY
SLPE,SLOPE
SND,SOUND
SQ,SQUARE
ST AGNES CT,SAINT AGNES CT
ST AGNES,SAINT AGNES
ST ALBANS AV,SAINT ALBANS AV
ST ALBANS DR,SAINT ALBANS DR
ST ALBANS PL,SAINT ALBANS PL
ST ALBANS RD,SAINT ALBANS RD
ST ALBANS TCE,SAINT ALBANS TCE
ST ALBYNS AV,SAINT ALBYNS AV
ST ALBYNS ST,SAINT ALBYNS ST
ST ALFRED DR,SAINT ALFRED DR
ST ALICK ST,SAINT ALICK ST
ST ANDREWS AV,SAINT ANDREWS AV
ST ANDREWS CR,SAINT ANDREWS CR
ST ANDREWS DR,SAINT ANDREWS DR
ST ANDREWS ST,SAINT ANDREWS ST
ST ANDREWS TCE,SAINT ANDREWS TCE
ST ANDREWS WY,SAINT ANDREWS WY
ST ANNES CT,SAINT ANNES CT
ST ANNES PL,SAINT ANNES PL
ST ANNES TCE,SAINT ANNES TCE
ST ANNS PL,SAINT ANNS PL
ST ANTON ST,SAINT ANTON ST
ST BARBARA RD,SAINT BARBARA RD
ST BARBERIE DR,SAINT BARBERIE DR
ST BERNARDS RD,SAINT BERNARDS RD
ST BURYAN CR,SAINT BURYAN CR
ST CLAIR AV,SAINT CLAIR AV
ST CLAIR PDE,SAINT CLAIR PDE
ST CLEMENTS ST,SAINT CLEMENTS ST
ST CLOUD ST,SAINT CLOUD ST
ST CORA CR,SAINT CORA CR
ST ELIAS ST,SAINT ELIAS ST
ST GEORGE BVD,SAINT GEORGE BVD
ST GEORGE CT,SAINT GEORGE CT
ST GEORGES AV,SAINT GEORGES AV
ST GEORGES CT,SAINT GEORGES CT
ST GEORGES PL,SAINT GEORGES PL
ST GEORGES SQ,SAINT GEORGES SQ
ST GEORGES ST,SAINT GEORGES ST
ST GEORGES TCE,SAINT GEORGES TCE
ST GEORGES WY,SAINT GEORGES WY
ST GEORGES,SAINT GEORGES
ST GILES CL,SAINT GILES CL
ST GILES WY,SAINT GILES WY
