31,DISTRICT OFFICER CAR THREE ONE
41,DISTRICT OFFICER CAR FOUR ONE
ADL090,ADELAIDE ZERO NINE ZERO
ADL091,ADELAIDE ZERO NINE ONE
ADL201,ADELAIDE TWO ZERO ONE
ADL2010,ADELAIDE TWO ZERO ONE ZERO
ADL2011,ADELAIDE TWO ZERO ONE ONE
ADL2012,ADELAIDE TWO ZERO ONE TWO
ADL2013,ADELAIDE TWO ZERO ONE THREE
ADL2014,ADELAIDE TWO ZERO ONE FOUR
ADL2015,ADELAIDE TWO ZERO ONE FIVE
ADL2016,ADELAIDE TWO ZERO ONE SIX
ADL2017,ADELAIDE TWO ZERO ONE SEVEN
ADL2018,ADELAIDE TWO ZERO ONE EIGHT
ADL2019,ADELAIDE TWO ZERO ONE NINE
ADL202,ADELAIDE TWO ZERO TWO
ADL2020,ADELAIDE TWO ZERO TWO ZERO
ADL2021,ADELAIDE TWO ZERO TWO ONE
ADL2022,ADELAIDE TWO ZERO TWO TWO
ADL2023,ADELAIDE TWO ZERO TWO THREE
ADL2024,ADELAIDE TWO ZERO TWO FOUR
ADL2025,ADELAIDE TWO ZERO TWO FIVE
ADL2026,ADELAIDE TWO ZERO TWO SIX
ADL2027,ADELAIDE TWO ZERO TWO SEVEN
ADL203,ADELAIDE TWO ZERO THREE
ADL204,ADELAIDE TWO ZERO FOUR
ADL205,ADELAIDE TWO ZERO FIVE
ADL206,ADELAIDE TWO ZERO SIX
ADL207,ADELAIDE TWO ZERO SEVEN
ADL208,ADELAIDE TWO ZERO EIGHT
ADL209,ADELAIDE TWO ZERO NINE
ADL2090,ADELAIDE TWO ZERO NINE ZERO
ADL2091,ADELAIDE TWO ZERO NINE ONE
ADL2092,ADELAIDE TWO ZERO NINE TWO
AIRDESK,AIR DESK
ALDB19,ALDINGA BEACH C F S
ALDB24,ALDINGA BEACH C F S
ALDB24P,ALDINGA BEACH C F S
ALDG12,ALDGATE C F S
ALDG24P,ALDGATE C F S
ALFD34,ALFORD C F S
ALLN34,ALLENDALE EAST C F S
ALMA14,ALMA C F S
AMER34,AMERICAN RIVER C F S
AND20,ANDAMOOKA S E S
AND29,ANDAMOOKA S E S
ANDA34,ANDAMOOKA C F S
ANGN24P,ANGASTON C F S
ANGN34,ANGASTON C F S
APK361,ANGLE PARK THREE SIX ONE
APPL34,APPILA C F S
ARDR19,ARDROSSAN C F S
ARDR34,ARDROSSAN C F S
ARGY34,ARGYLE C F S
ARNO24,ARNO BAY C F S
ASHB14,ASHBOURNE C F S
ASHB34,ASHBOURNE C F S
ATHL19,ATHELSTONE C F S
ATHL28,ATHELSTONE C F S
ATHL42,ATHELSTONE C F S
ATHLAS,ATHELSTONE C F S
ATHLQRV,ATHELSTONE C F S
AUBN34,AUBURN C F S
AUBNQRV,AUBURN C F S
AVEN34,AVENUE RANGE C F S
AVON14,AVON C F S
BALA24P,BALAKLAVA C F S
BALA34,BALAKLAVA C F S
BALD14,BALDINA C F S
BALG24,BALGOWAN C F S
BANG24,BANGHAM C F S
BARGC1,WILLIAMSTOWN C F S
BARGC2,WILLIAMSTOWN C F S
BARM24P,BARMERA C F S
BARM34,BARMERA C F S
BARMQRV,BARMERA C F S
BASK14,BASKET RANGE C F S
BASK24,BASKET RANGE C F S
BBRW34,BOOBOROWIE C F S
BCHP34,BEACHPORT TOWN C F S
BDTN28,BORDERTOWN C F S
BDTN34,BORDERTOWN C F S
BDTN42,BORDERTOWN C F S
BDTNPUMP28,BORDERTOWN C F S
BELR00,BELAIR C F S
BELR14,BELAIR C F S
BELR34P,BELAIR C F S
BELR42,BELAIR TANCKR
BER601,BERRI M F S
BER6014,BERRI M F S
BER602,BERRI M F S
BIRD19,BIRDWOOD C F S
